"Workstation","LogName","EventID","Provider","Level","Description","Users","Count","FirstSeen","LastSeen"
"DESCARTES","Application","0","edgeupdate","Information","(description unavailable - provider/manifest not found)","","635","8/6/2026 9:21:44 PM","9/23/2026 7:22:32 PM"
"DESCARTES","Application","1","CoworkVMService","Warning","(description unavailable - provider/manifest not found)","","42","8/13/2026 11:15:31 PM","9/23/2026 8:59:01 PM"
"DESCARTES","Application","2","Dell.TechHub.Diagnostics.SubAgent.exe",,"(description unavailable - provider/manifest not found)","","68","8/9/2026 3:55:53 PM","9/20/2026 3:16:37 PM"
"DESCARTES","Application","15","SecurityCenter","Information","(description unavailable - provider/manifest not found)","","190","8/6/2026 9:38:19 PM","9/23/2026 9:26:23 PM"
"DESCARTES","Application","26","Outlook","Information","(description unavailable - provider/manifest not found)","","50","8/9/2026 4:49:52 PM","9/22/2026 12:28:49 PM"
"DESCARTES","Application","30","Outlook","Information","(description unavailable - provider/manifest not found)","","44","8/10/2026 10:54:04 PM","9/23/2026 12:27:52 AM"
"DESCARTES","Application","32","Outlook","Information","(description unavailable - provider/manifest not found)","","104","8/10/2026 9:53:17 PM","9/23/2026 9:15:33 PM"
"DESCARTES","Application","36","Outlook","Warning","(description unavailable - provider/manifest not found)","","1","9/10/2026 11:46:20 PM","9/10/2026 11:46:20 PM"
"DESCARTES","Application","37","Outlook","Information","(description unavailable - provider/manifest not found)","","1","9/10/2026 11:47:15 PM","9/10/2026 11:47:15 PM"
"DESCARTES","Application","38","Outlook","Information","(description unavailable - provider/manifest not found)","","44","8/10/2026 10:54:12 PM","9/23/2026 12:28:12 AM"
"DESCARTES","Application","45","Outlook","Information","(description unavailable - provider/manifest not found)","","7","8/10/2026 9:53:17 PM","9/20/2026 10:46:39 AM"
"DESCARTES","Application","63","Outlook","Information","(description unavailable - provider/manifest not found)","NT AUTHORITY\SYSTEM","40","8/13/2026 11:15:32 PM","9/23/2026 8:34:18 PM"
"DESCARTES","Application","102","ESENT","Information","(description unavailable - provider/manifest not found)","","194","8/22/2026 8:50:26 AM","9/23/2026 12:00:20 PM"
"DESCARTES","Application","103","ESENT","Information","(description unavailable - provider/manifest not found)","","191","8/22/2026 8:50:26 AM","9/23/2026 12:00:20 PM"
"DESCARTES","Application","105","ESENT","Information","(description unavailable - provider/manifest not found)","","194","8/22/2026 8:50:26 AM","9/23/2026 12:00:20 PM"
